Date,Open,High,Low,Close,Adj Close,Volume
11/12/2018,18.790001,18.889999,18.59,18.610001,18.512053,38310500
11/13/2018,18.700001,18.73,18.26,18.42,18.323053,37410700
11/14/2018,18.370001,19.08,18.34,18.83,18.730894,66754900
11/15/2018,18.889999,19.129999,18.809999,19.09,18.989527,39657800
11/16/2018,19.370001,19.5,19.290001,19.379999,19.278,46150500
11/19/2018,19.35,19.66,19.33,19.389999,19.287947,39968700
11/20/2018,19.51,19.51,18.969999,19.299999,19.19842,33847400
11/21/2018,19.469999,19.92,19.450001,19.809999,19.705736,51285800
11/23/2018,19.629999,19.74,19.27,19.360001,19.258106,30344400
11/26/2018,19.4,19.67,19.219999,19.26,19.158632,23593600
11/27/2018,19.290001,19.290001,18.719999,18.870001,18.770685,51165000
11/28/2018,18.77,19.48,18.73,19.34,19.238211,49633100
11/29/2018,19.440001,19.52,19.16,19.17,19.069105,28893400
11/30/2018,19.08,19.18,18.799999,19.09,18.989527,31883800
12/3/2018,19.389999,19.49,19.16,19.440001,19.337685,47882800
12/4/2018,19.67,19.77,19.52,19.6,19.496843,45434300
12/6/2018,19.66,19.9,19.5,19.709999,19.606262,50911100
12/7/2018,19.879999,20.34,19.790001,20.200001,20.093685,67727400
12/10/2018,20.1,20.549999,19.99,20.129999,20.024052,47462700
12/11/2018,20.209999,20.379999,19.959999,20.01,19.904684,50550800
12/12/2018,20.07,20.49,20.07,20.440001,20.332422,71833500
12/13/2018,20.33,20.48,20.290001,20.48,20.37221,42891300
12/14/2018,20.26,20.360001,20.08,20.120001,20.014107,48779800
12/17/2018,20.290001,20.65,20.280001,20.610001,20.501528,67083000
12/18/2018,20.540001,21.17,20.530001,21.09,20.979,79518700
12/19/2018,21.09,21.469999,19.9,19.950001,19.845001,120753200
12/20/2018,20.530001,20.84,20.34,20.67,20.67,94498200
12/21/2018,20.68,20.77,20.27,20.440001,20.440001,63178700
12/24/2018,20.700001,21.110001,20.65,21.09,21.09,60507000
12/26/2018,21.35,21.4,20.530001,20.620001,20.620001,76365200
12/27/2018,20.84,21,20.700001,20.969999,20.969999,52393000
12/28/2018,20.889999,21.02,20.57,20.6,20.6,49835000
12/31/2018,20.700001,21.129999,20.559999,21.09,21.09,53866600
1/2/2019,21.110001,21.23,20.84,21.049999,21.049999,39963400
1/3/2019,21.299999,21.540001,21.129999,21.48,21.48,52555200
1/4/2019,21.129999,21.4,21.01,21.299999,21.299999,60257200
1/7/2019,21.48,21.530001,20.98,21.040001,21.040001,41231900
1/8/2019,20.85,21.07,20.690001,21.049999,21.049999,36313100
1/9/2019,21.030001,21.41,21.01,21.32,21.32,55350100
1/10/2019,21.24,21.35,20.950001,21,21,38185600
1/11/2019,21.059999,21.25,21.01,21.08,21.08,32955600
1/14/2019,21.120001,21.27,20.85,20.93,20.93,34552200
1/15/2019,21,21.059999,20.42,20.610001,20.610001,45097700
1/16/2019,20.57,20.780001,20.5,20.6,20.6,22030000
1/17/2019,20.57,20.77,20.51,20.66,20.66,25288300
1/18/2019,20.450001,20.639999,20.24,20.309999,20.309999,50576000
1/22/2019,20.360001,20.51,20.219999,20.450001,20.450001,34617600
1/23/2019,20.32,20.610001,20.23,20.49,20.49,22692400
1/24/2019,20.370001,20.59,20.35,20.5,20.5,37866200
1/25/2019,20.809999,21.23,20.799999,21.18,21.18,52893000
1/28/2019,21.18,21.48,21.18,21.450001,21.450001,38990100
1/29/2019,21.639999,21.98,21.49,21.969999,21.969999,61112200
1/30/2019,21.860001,22.549999,21.75,22.18,22.18,66605400
1/31/2019,22.42,22.690001,22.290001,22.690001,22.690001,60796600
2/1/2019,22.530001,22.66,22.200001,22.57,22.57,42718200
2/4/2019,22.190001,22.51,22.16,22.49,22.49,53968100
2/5/2019,22.49,22.610001,22.219999,22.610001,22.610001,33532900
2/6/2019,22.360001,22.6,22.209999,22.219999,22.219999,49850200
2/7/2019,22.209999,22.35,21.959999,22.030001,22.030001,36029500
